sec_id,ticker,name,query_term,entity_name,file_date,headline,source_url,form_type,event_text,event_type
8126151,PSA,Public Storage,PSA,Public Storage,2026-02-19,"Spyre Therapeutics, Inc.  (SYRE)  (CIK 0001636282)",https://efts.sec.gov/LATEST/search-index?q=%22PSA%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Spyre Therapeutics, Inc.  (SYRE)  (CIK 0001636282)  2.02 9.01",other
8126151,PSA,Public Storage,PSA,Public Storage,2026-02-19,Wells Fargo Commercial Mortgage Trust 2026-5C8  (CIK 0002107796),https://efts.sec.gov/LATEST/search-index?q=%22PSA%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, Wells Fargo Commercial Mortgage Trust 2026-5C8  (CIK 0002107796)  8.01 9.01,other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-20,"ASHFORD HOSPITALITY TRUST INC  (AHT, AHT-PD, AHT-PF, AHT-PG, AHT-PH, AHT-PI)  (CIK 0001232582)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," ASHFORD HOSPITALITY TRUST INC  (AHT, AHT-PD, AHT-PF, AHT-PG, AHT-PH, AHT-PI)  (CIK 0001232582)  2.01",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-20,"Aveanna Healthcare Holdings, Inc.  (AVAH)  (CIK 0001832332)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Aveanna Healthcare Holdings, Inc.  (AVAH)  (CIK 0001832332)  5.02 9.01",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-20,"Bluerock Homes Trust, Inc.  (BHM)  (CIK 0001903382)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Bluerock Homes Trust, Inc.  (BHM)  (CIK 0001903382)  3.02",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-20,CARMAX AUTO FUNDING LLC  (CIK 0001259380) CarMax Select Receivables Trust 2026-A  (CIK 0002104651),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, CARMAX AUTO FUNDING LLC  (CIK 0001259380) CarMax Select Receivables Trust 2026-A  (CIK 0002104651)  1.01 8.01 9.01,other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-20,COUSINS PROPERTIES INC  (CUZ)  (CIK 0000025232),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, COUSINS PROPERTIES INC  (CUZ)  (CIK 0000025232)  1.01 2.03 8.01 9.01,other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-20,"HASBRO, INC.  (HAS)  (CIK 0000046080)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," HASBRO, INC.  (HAS)  (CIK 0000046080)  1.01 2.03 9.01",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-20,"MSP Recovery, Inc.  (MSPR, MSPRW, MSPRZ)  (CIK 0001802450)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," MSP Recovery, Inc.  (MSPR, MSPRW, MSPRZ)  (CIK 0001802450)  1.01 2.03 5.02 9.01",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-20,NISSAN AUTO LEASING LLC II  (CIK 0001244832) Nissan Auto Lease Trust 2026-A  (CIK 0002105816),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, NISSAN AUTO LEASING LLC II  (CIK 0001244832) Nissan Auto Lease Trust 2026-A  (CIK 0002105816)  1.01 9.01,other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-20,SANTANDER DRIVE AUTO RECEIVABLES LLC  (CIK 0001383094) Santander Drive Auto Receivables Trust 2026-1  (CIK 0002105961),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, SANTANDER DRIVE AUTO RECEIVABLES LLC  (CIK 0001383094) Santander Drive Auto Receivables Trust 2026-1  (CIK 0002105961)  1.01 8.01 9.01,other
